Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
CERT,"Certara Inc",1922669000,35.21,0.34,-12050000.,1.45,0.00,0.00%,2025-11-06
CEVA,"Ceva Inc",636216000,0,-0.35,-8790000.,1.29,0.00,0.00%,2025-11-10
CFFN,"Capitol Fed Finl Inc",818190000,13.11,0.47,38010000,0.64,0.34,5.52%,2025-10-29
CHCO,"City Holding Company",1730992000,14.37,8.31,117100000,0.53,3.24,2.71%,2025-10-23
CHEF,"The Chefs Warehouse",2370369000,34.61,1.68,55480000,1.75,0.00,0.00%,2025-10-29
CLB,"Core Laboratories Inc",531778000,14.73,0.77,31400000,1.38,0.04,0.35%,2025-10-22
CLSK,"Cleanspark Inc",5488146000,46.49,0.42,-145780000.,3.88,0.00,0.00%,2025-12-01
CNK,"Cinemark Holdings Inc",3043853000,14.46,1.83,309700000,1.75,0.24,0.91%,2025-11-05
CNMD,"C O N M E D Corp",1398856000,10.06,4.49,132420000,1.14,0.8,1.77%,2025-11-05
CNR,"Core Natural Resources Inc",4623215000,21.33,4.21,286410000,0.7,1.876,2.09%,2025-11-04
CNS,"Cohn & Steers Inc",3550411000,22.68,3.03,151270000,1.38,2.45,3.52%,2025-10-16
CNXN,"PC Connection Inc",1549236000,18.38,3.32,87100000,0.7,0.55,0.90%,2025-10-29
COHU,"Cohu Inc",1013933000,0,-0.67,-69820000.,1.36,0.00,0.00%,2025-10-29
COLL,"Collegium Pharma",1069178000,5.84,5.81,69190000,0.65,0.00,0.00%,2025-11-06
CON,"Concentra Group Holdings Parent Inc",N/A,N/A,N/A,166540000,N/A,0.00,N/A,2025-11-06
CORT,"Corcept Therapeutics",8291723000,69.64,1.13,141210000,0.46,0.00,0.00%,2025-10-29
CPF,"Central Pacific Financial Company",759515000,10.83,2.6,53410000,1.06,1.07,3.80%,2025-10-29
CPK,"Chesapeake Utilities Corp",3141241000,23.45,5.69,118600000,0.74,2.65,1.99%,2025-11-06
CPRX,"Catalyst Pharm Inc",2515135000,8.42,2.44,163890000,0.79,0.00,0.00%,2025-11-05
CRC,"California Resources Corp",3956390000,10.32,4.58,376000000,1.16,1.55,3.28%,2025-11-04
CRGY,"Crescent Energy Company Cl A",2100574000,4.25,1.94,-114610000.,1.89,0.48,5.82%,2025-11-03
CRI,"Carter's Inc",1081666000,6.11,4.86,185510000,1.07,2.1,7.07%,2025-10-27
CRK,"Comstock Resources",4982139000,56.67,0.3,-229650000.,0.19,0.00,0.00%,2025-11-03
CRSR,"Corsair Gaming Inc",832391000,0,-0.24,-99180000.,1.76,0.00,0.00%,2025-11-05
CRVL,"Corvel Corp",3667853000,36.85,1.94,95160000,0.95,0.00,0.00%,2025-11-04
CSGS,"C S G Sys Intl",1862727000,15.83,4.09,86850000,0.92,1.26,1.95%,2025-11-05
CSR,Centerspace,1009609000,12.35,-1.8,-10690000.,0.73,3.06,5.08%,2025-11-03
CSW,"Csw Industrials Inc",4003413000,26.98,8.83,136650000,0.92,1.02,0.43%,2025-10-29
CTKB,"Cytek Biosciences Inc",502535000,0,-0.05,-6020000.,1.31,0.00,0.00%,2025-11-04
CTRE,"Caretrust REIT Inc",7547125000,21.23,1.2,125080000,0.82,1.295,3.74%,2025-11-04
CTS,"Cts Corp",1179964000,18.45,2.17,58110000,0.84,0.16,0.40%,2025-10-28
CUBI,"Customers Bancorp",1975164000,10.48,5.96,181470000,1.55,0.00,0.00%,2025-10-23
CURB,"Curbline Properties Corp",2474775000,0,0.32,10260000,N/A,0.73,3.10%,2025-10-28
CVBF,"Cvb Financial Corp",2555146000,12.79,1.45,200720000,0.67,0.8,4.31%,2025-10-22
CVCO,"Cavco Inds Inc",4390468000,23.1,24,171040000,1.23,0.00,0.00%,2025-10-30
CVI,"Cvr Energy Inc",3448179000,0,-1.44,7000000,1.25,0.00,0.00%,2025-10-29
CWEN,"Clearway Energy Inc Cl C",6405443000,48.74,0.65,88000000,0.89,1.739,5.49%,2025-11-04
CWE.A,"Clearway Energy Inc [Cwen.A]",6035431000,45.92,0.65,0,0.92,1.739,5.83%,N/A
CWK,"Cushman & Wakefield Plc",3648929000,14.33,1.1,131300000,1.51,0.00,0.00%,2025-10-30
CWT,"California Water Service Group Holding",2892062000,21.2,2.29,190810000,0.68,1.22,2.51%,2025-10-30
CXM,"Sprinklr Inc Cl A",1860172000,42.33,0.18,121610000,0.78,0.00,0.00%,2025-12-03
CXW,"Corecivic Inc",1922797000,9.66,0.95,68870000,0.75,0.00,0.00%,2025-11-05
CZR,"Caesars Entertainment Inc",4461429000,0,-0.92,-278000000.,2.38,0.00,0.00%,2025-10-28
DAN,"Dana Inc",2477499000,34.35,0.55,-57000000.,2.09,0.4,2.12%,2025-10-29
DCOM,"Dime Community Bancshares Inc",1221047000,14.49,1.92,29080000,1.1,1.25,4.49%,2025-10-23
DEA,"Easterly Government Properties",996881000,7.46,0.42,19550000,0.95,1.955,8.89%,2025-10-27
DEI,"Douglas Emmett",2242102000,8.47,0.22,23520000,1.3,0.76,5.68%,2025-11-04
DFH,"Dream Finders Homes Inc Cl A",2169724000,7.56,3.09,335340000,1.87,0.00,0.00%,2025-10-30
DFIN,"Donnelly Financial Solutions Inc",1420942000,17.28,2.99,92400000,1.07,0.00,0.00%,2025-10-30
DGII,"Digi Intl Inc",1407295000,21.66,1.75,22510000,0.95,0.00,0.00%,2025-11-12
DIOD,"Diodes Inc",2532073000,45.06,1.21,44020000,1.63,0.00,0.00%,2025-11-06
DLX,"Deluxe Corp",811072000,6.17,2.93,52800000,1.51,1.2,6.64%,2025-11-05
DNOW,"Dnow Inc",1508081000,14.82,0.95,81000000,1.05,0.00,0.00%,2025-11-06
DOCN,"Digitalocean Holdings Inc",3769842000,27.98,1.48,84490000,1.76,0.00,0.00%,2025-11-05
DORM,"Dorman Products Inc",4367889000,17.36,8.24,190000000,0.84,0.00,0.00%,2025-10-27
DRH,"Diamondrock Hospitality Company",1584302000,7.43,0.26,48050000,1.38,0.47,6.08%,2025-11-06
DV,"Doubleverify Holdings Inc",1781909000,37.55,0.29,56230000,0.99,0.00,0.00%,2025-11-07
DVAX,"Dynavax Technologies",1152735000,49.15,0.2,27310000,1.13,0.00,0.00%,2025-11-06
DXC,"Dxc Technology Company",2300137000,3.81,3.37,389000000,1.12,0.00,0.00%,2025-10-30
DXPE,"Dxp Enterprise",1746115000,20.23,5.5,70490000,1.16,0.00,0.00%,2025-11-03
DY,"Dycom Industries",8468756000,31.76,9.21,233410000,1.15,0.00,0.00%,2025-11-19
EAT,"Brinker International",5680502000,14.37,8.9,383100000,1.38,0.00,0.00%,2025-10-29
ECG,"Everus Construction Group Inc",4512078000,27.3,3.24,143420000,N/A,0.00,0.00%,2025-11-05
ECPG,"Encore Capital Group",951776000,5.76,7.18,-139240000.,1.48,0.00,0.00%,2025-11-05
EFC,"Ellington Financial Llc",1358558000,7.95,1.71,145860000,1,1.56,11.47%,2025-11-05
EGBN,"Eagle Bancorp Inc",573367000,0,-1.02,-47040000.,1.13,0.66,3.50%,2025-10-22
EIG,"Employers Holdings Inc",969870000,12.46,3.31,118600000,0.5,1.24,3.01%,2025-10-30
ELME,"Elme Communities",1475815000,17.81,-0.15,-13100000.,1.01,0.72,4.30%,2025-10-23
EMBC,"Embecta Corp",793057000,4.64,2.92,78300000,1.1,0.6,4.42%,2025-11-25
ENOV,"Enovis Corp",1795967000,9.49,3.31,-825490000.,1.69,0.00,0.00%,2025-11-05
ENPH,"Enphase Energy Inc",4780257000,23.14,1.58,102660000,1.56,0.00,0.00%,2025-10-28
ENR,"Energizer Holdings Inc",1699215000,6.75,3.69,38100000,0.62,1.2,4.82%,2025-11-18
ENVA,"Enova International Inc",2723415000,10.58,10.29,209450000,1.49,0.00,0.00%,2025-10-23
EPAC,"Actuant Corp",2270488000,23.07,1.8,85750000,1.12,0.04,0.10%,2025-10-15
EPC,"Edgewell Personal Care",941361000,7.85,2.58,98600000,0.83,0.6,2.96%,2025-11-06
EPRT,"Essential Properties Realty Trust Inc",6120544000,17.26,1.18,203000000,1.12,1.19,3.85%,2025-10-22
ESE,"Esco Technologies Inc",5588272000,39.49,5.48,101880000,1.23,0.32,0.15%,2025-11-13
ESI,"Element Solutions Inc",6182980000,17.65,1.45,244200000,1.31,0.32,1.25%,2025-10-27
ETD,"Ethan Allen Interiors Inc",696457000,13.42,2.04,51600000,1.12,1.81,6.61%,2025-10-29
ETSY,"Etsy Inc",6983220000,32.17,2.19,303280000,1.85,0.00,0.00%,2025-10-29
EVTC,"Evertec Inc",1911142000,9.83,3.04,112620000,0.93,0.2,0.67%,2025-11-05
EXPI,"eXp World Holdings Inc",1683955000,0,-0.06,-21270000.,2,0.2,1.87%,2025-11-06
EXTR,"Extreme Networks",2691771000,55.94,0.36,-7470000.,1.81,0.00,0.00%,2025-10-29
EYE,"National Vision Holdings Inc",2044049000,67.92,0.38,-28500000.,1.3,0.00,0.00%,2025-11-05
EZPW,"Ezcorp Inc",1129621000,13.74,1.35,83100000,0.62,0.00,0.00%,2025-11-12
FBK,"Fb Financial Corp",2806071000,14.28,3.44,116040000,0.91,0.74,1.42%,2025-10-14
FBNC,"First Bancorp [Nc]",1976494000,14.76,3.23,76220000,1.01,0.9,1.89%,2025-10-22
FBP,"First Bancorp",3302473000,10.95,1.88,298720000,0.93,0.7,3.40%,2025-10-23
FBRT,"Franklin Bsp Realty Trust Inc",876229000,15.66,0.68,95880000,1.03,1.42,13.33%,2025-10-29
FCF,"First Commonwealth Financial Corp",1663216000,11.7,1.36,142570000,0.82,0.53,3.33%,2025-10-28
FCPT,"Four Corners Property Trust IN",2548921000,13.94,1.08,100470000,0.87,1.42,5.82%,2025-10-28
FDP,"Fresh Del Monte Produce",1655137000,11.94,2.89,142200000,0.41,1.15,3.33%,2025-10-29
FELE,"Franklin Electric Company",4328391000,25.14,3.87,180310000,1.08,1.045,1.07%,2025-10-28
FFBC,"First Finl Bncp [Oh]",2271285000,8.63,2.75,228830000,0.96,0.97,4.09%,2025-10-23
FHB,"First Hawaiian Inc",2895108000,11.97,1.94,230130000,0.84,1.04,4.48%,2025-10-24
FIZZ,"Natl Beverage Corp",3386235000,18.18,1.99,186820000,0.63,0.00,0.00%,2025-12-04
FMC,"FMC Corp",3672413000,8.78,3.35,341100000,0.76,2.32,7.89%,2025-10-29
FORM,"Formfactor Inc",3242643000,60.94,0.69,69610000,1.28,0.00,0.00%,2025-10-29
FOXF,"Fox Factory Corp",944702000,17.52,1.29,6550000,1.37,0.00,0.00%,2025-11-06
FRPT,"Freshpet Inc CS",2501926000,50.28,1.02,46930000,1.74,0.00,0.00%,2025-11-03
FSS,"Federal Signal Corp",7324219000,32.74,3.68,216300000,1.29,0.54,0.45%,2025-10-30
FTDR,"Frontdoor Inc",4800749000,16.81,3.92,235000000,1.33,0.00,0.00%,2025-11-05
FTRE,"Fortrea Holdings Inc",858060000,15.24,0.62,-328500000.,1.81,0.00,0.00%,2025-11-05
FUL,"H. B. Fuller Company",3180974000,15.6,2.64,130260000,1.12,1.15,1.96%,2025-09-24
FULT,"Fulton Financial Cor",3112158000,8.34,2.05,288740000,0.82,0.72,4.21%,2025-10-21
FUN,"Cedar Fair LP",2114705000,0,-0.22,-231160000.,0.71,0.00,0.00%,2025-11-05
FWRD,"Foward Air Corp",620151000,0,-3.7,-816970000.,1.39,0.00,0.00%,2025-11-05
GBX,"Greenbrier Companies",1398119000,6.3,7.19,160100000,1.76,1.24,2.74%,2025-10-28
GDEN,"Golden Entmt",589601000,41.74,0.54,50730000,1.69,1,4.44%,2025-11-06
GDYN,"Grid Dynamics Holdings Inc",642645000,75.9,0.1,4040000,1.04,0.00,0.00%,2025-10-30
GEO,"Geo Group Inc",2408926000,24.31,0.7,31970000,0.75,0.00,0.00%,2025-11-06
GES,"Guess Inc",877061000,10.27,1.64,60420000,1.26,0.9,5.34%,2025-11-25
GFF,"Griffon Corp",3470042000,13.33,5.59,209900000,1.11,0.72,0.97%,2025-11-12
GIII,"G-III Apparel Gp",1161757000,6.4,4.3,193570000,1.58,0.00,0.00%,2025-12-09
GKOS,"Glaukos Corp",4999199000,0,-1.14,-146370000.,0.76,0.00,0.00%,2025-10-29
GNL,"Global Net Lease Inc",1697034000,6.45,-1.06,-131570000.,1.2,0.845,11.00%,2025-11-05
GNW,"Genworth Financial Inc",3509211000,19.88,0.43,299000000,0.99,0.00,0.00%,2025-11-05
GO,"Grocery Outlet Holding Corp",1506862000,19.95,0.77,39470000,0.29,0.00,0.00%,2025-11-04
GOGO,"Gogo Inc",1187123000,17.76,0.5,13750000,1.07,0.00,0.00%,2025-11-04
GOLF,"Acushnet Holdings Corp",4721302000,21.52,3.74,214300000,0.89,0.92,1.14%,2025-11-06
GPI,"Group 1 Automotive",5619838000,10.44,41.61,498100000,0.85,1.97,0.45%,2025-10-28
GRBK,"Green Brick Partners",2930181000,8.61,7.81,381580000,1.96,0.00,0.00%,2025-10-29
GSHD,"Goosehead Insurance Inc Cl A",2517137000,52.36,1.28,30430000,1.27,0.00,0.00%,2025-10-22
GTES,"Gates Industrial Corp Plc",6679154000,19.21,1.35,194900000,1.25,0.00,0.00%,2025-10-29
GTY,"Getty Realty Corp",1537632000,11.46,1.15,71060000,0.82,1.88,6.92%,2025-10-22
GVA,"Granite Construction Incorporated",4598843000,20.12,5.22,126350000,1.39,0.52,0.50%,2025-10-30
HAFC,"Hanmi Financial Corp",702237000,10.84,2.15,62200000,0.71,1.06,4.55%,2025-10-21
HASI,"Ha Sustainable Infrastructure Capital Inc",3583681000,13.47,2.14,200040000,1.61,1.675,5.81%,2025-11-06
HAYW,"Hayward Holdings Inc",3298281000,21.14,0.72,118660000,1.11,0.00,0.00%,2025-10-29
HBI,"Hanesbrands Inc",2437696000,10.94,0.63,-320430000.,1.47,0.00,0.00%,2025-11-06
HCC,"Warrior Met Coal Inc",3429602000,72.49,0.9,250600000,0.78,0.32,0.49%,2025-11-05
HCI,"HCI Group",2462011000,16.8,11.31,109950000,1.17,1.6,0.84%,2025-11-06
HCSG,"Healthcare Svcs Gp",1183953000,20.7,0.79,39470000,0.7,0.00,0.00%,2025-10-22
HELE,"Helen of Troy Ltd",436630000,3.65,5.19,123750000,0.84,0.00,0.00%,2025-10-09
